period,stateid,stateDescription,price,growth_rate (%)
2010,AK,Alaska,16.26,
2011,AK,Alaska,17.62,8.364083640836405
2012,AK,Alaska,17.88,1.4755959137343844
2013,AK,Alaska,18.12,1.3422818791946511
2014,AK,Alaska,19.14,5.629139072847678
2015,AK,Alaska,19.83,3.605015673981171
2016,AK,Alaska,20.3,2.3701462430660847
2017,AK,Alaska,21.27,4.778325123152705
2018,AK,Alaska,21.94,3.1499764927127583
2019,AK,Alaska,22.92,4.466727438468543
2020,AK,Alaska,22.57,-1.5270506108202464
2021,AK,Alaska,22.55,-0.08861320336730483
2022,AK,Alaska,23.1,2.4390243902439046
2023,AK,Alaska,23.9,3.463203463203457
2024,AK,Alaska,24.82,3.849372384937255
2025,AK,Alaska,26.09,5.116841257050764
2010,AL,Alabama,10.67,
2011,AL,Alabama,11.09,3.936269915651369
2012,AL,Alabama,11.4,2.7953110910730494
2013,AL,Alabama,11.26,-1.2280701754386003
2014,AL,Alabama,11.48,1.9538188277087087
2015,AL,Alabama,11.7,1.9163763066202044
2016,AL,Alabama,11.99,2.478632478632492
2017,AL,Alabama,12.55,4.67055879899918
2018,AL,Alabama,12.18,-2.948207171314754
2019,AL,Alabama,12.53,2.8735632183908066
2020,AL,Alabama,12.57,0.31923383878691425
2021,AL,Alabama,12.96,3.1026252983293645
2022,AL,Alabama,14.25,9.953703703703699
2023,AL,Alabama,14.63,2.6666666666666616
2024,AL,Alabama,15.18,3.7593984962405846
2025,AL,Alabama,16.1,6.060606060606077
2010,AR,Arkansas,8.86,
2011,AR,Arkansas,9.02,1.8058690744920947
2012,AR,Arkansas,9.3,3.10421286031044
2013,AR,Arkansas,9.59,3.118279569892457
2014,AR,Arkansas,9.51,-0.8342022940563076
2015,AR,Arkansas,9.82,3.259726603575186
2016,AR,Arkansas,9.92,1.0183299389002087
2017,AR,Arkansas,10.28,3.629032258064502
2018,AR,Arkansas,9.81,-4.571984435797649
2019,AR,Arkansas,9.8,-0.10193679918449883
2020,AR,Arkansas,10.41,6.224489795918364
2021,AR,Arkansas,11.27,8.261287223823244
2022,AR,Arkansas,12.05,6.921029281277735
