Hour,Load (kWh),Solar (kWh),TOU Rate ($/kWh)
0,0.5307201482541304,0.0,0.34545
1,0.4585816106366413,0.0,0.34545
2,0.43284654269085865,0.0,0.34545
3,0.4234680421438587,0.0,0.34545
4,0.4676479220762065,0.0,0.34545
5,0.5955737406520544,0.0954729,0.34545
6,0.8106523423962283,1.1053247363636365,0.38853
7,0.768681059646587,2.566813627272727,0.38853
8,0.7993157346856631,4.934676763636364,0.38853
9,0.9037625064096957,6.701258609090909,0.38853
10,1.0078514727274022,7.9700963,0.34545
11,1.094219836419913,8.377311163636364,0.34545
12,1.1695789157271195,8.332310281818181,0.34545
13,1.274044370222174,7.642005681818182,0.34545
14,1.4012756533212718,6.519360881818182,0.38853
15,1.5120786185256194,4.789066327272727,0.38853
16,1.6481589106027499,2.458379081818182,0.71598
17,1.7044499027950324,0.4742763363636363,0.71598
18,1.5925262927612065,0.035743,0.71598
19,1.6380885472844564,0.0,0.71598
20,1.6749767265215219,0.0,0.71598
21,1.3548702169008695,0.0,0.38853
22,1.0082314293952284,0.0,0.38853
23,0.6731877839011631,0.0,0.38853
