hour,export ($/kWh)
0,0.09145183854166666
1,0.08848589583333333
2,0.08697022916666668
3,0.08685189583333335
4,0.087951328125
5,0.09055378645833334
6,0.09341208333333334
7,0.08441442708333334
8,0.06915774479166667
9,0.05822096354166667
10,0.055711390625
11,0.05363838541666666
12,0.05078083854166667
13,0.04874864583333333
14,0.04462432291666666
15,0.05223413020833333
16,0.08026692146596859
17,0.10751668062827224
18,0.0977704502617801
19,0.09010780104712042
20,0.08877797382198954
21,0.08772042408376964
22,0.09298161256544503
23,0.09142808900523561
