Battery Size (kWh),Daily Operating Cost ($),Daily Operational Savings ($),Original Battery Cost ($),Annualized Capital Cost ($/year),Daily Amortized Capital Cost ($),Net benefit ($/day)
0.0,5.922,-0.0,0.0,0.0,0.0,-0.0
0.5,5.684,0.239,300.0,42.713,0.117,0.122
1.0,5.454,0.468,600.0,85.427,0.234,0.234
1.5,5.225,0.697,900.0,128.14,0.351,0.346
2.0,4.995,0.927,1200.0,170.853,0.468,0.459
2.5,4.766,1.156,1500.0,213.566,0.585,0.571
3.0,4.537,1.386,1800.0,256.28,0.702,0.684
3.5,4.307,1.615,2100.0,298.993,0.819,0.796
4.0,4.078,1.845,2400.0,341.706,0.936,0.908
4.5,3.848,2.074,2700.0,384.419,1.053,1.021
5.0,3.619,2.303,3000.0,427.133,1.17,1.133
5.5,3.39,2.532,3300.0,469.846,1.287,1.245
6.0,3.161,2.761,3600.0,512.559,1.404,1.357
6.5,2.945,2.977,3900.0,555.272,1.521,1.456
7.0,2.78,3.142,4200.0,597.986,1.638,1.504
7.5,2.615,3.307,4500.0,640.699,1.755,1.552
8.0,2.451,3.471,4800.0,683.412,1.872,1.599
8.5,2.289,3.634,5100.0,726.125,1.989,1.644
9.0,2.127,3.795,5400.0,768.839,2.106,1.689
9.5,1.965,3.957,5700.0,811.552,2.223,1.733
10.0,1.807,4.115,6000.0,854.265,2.34,1.775
10.5,1.649,4.273,6300.0,896.978,2.457,1.816
11.0,1.491,4.432,6600.0,939.692,2.574,1.857
11.5,1.333,4.59,6900.0,982.405,2.692,1.898
12.0,1.175,4.747,7200.0,1025.118,2.809,1.939
12.5,1.017,4.905,7500.0,1067.831,2.926,1.98
13.0,0.859,5.063,7800.0,1110.545,3.043,2.02
13.5,0.708,5.214,8100.0,1153.258,3.16,2.054
14.0,0.629,5.294,8400.0,1195.971,3.277,2.017
14.5,0.549,5.373,8700.0,1238.684,3.394,1.98
15.0,0.469,5.453,9000.0,1281.398,3.511,1.942
15.5,0.39,5.533,9300.0,1324.111,3.628,1.905
16.0,0.31,5.612,9600.0,1366.824,3.745,1.868
16.5,0.23,5.692,9900.0,1409.537,3.862,1.83
17.0,0.15,5.772,10200.0,1452.251,3.979,1.793
17.5,0.071,5.852,10500.0,1494.964,4.096,1.756
18.0,-0.009,5.931,10800.0,1537.677,4.213,1.718
18.5,-0.089,6.011,11100.0,1580.39,4.33,1.681
19.0,-0.168,6.091,11400.0,1623.104,4.447,1.644
19.5,-0.248,6.17,11700.0,1665.817,4.564,1.606
20.0,-0.327,6.249,12000.0,1708.53,4.681,1.569
