hour,solar_kwh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.02276176821192053
6,0.22960488741721854
7,1.007233476821192
8,1.949195059602649
9,2.839407748344371
10,3.444583569536424
11,3.799753198675497
12,3.708997238410596
13,3.3607787615894043
14,2.789235841059603
15,1.9096212847682121
16,0.7815234635761589
17,0.11298928476821193
18,0.001135066225165563
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
