hour,export ($/kWh)
0,0.0891029746835443
1,0.08771310126582278
2,0.08588974683544304
3,0.08374267088607595
4,0.08257341772151898
5,0.08360921518987341
6,0.08465572151898734
7,0.07361601265822786
8,0.04987325316455696
9,0.03479007594936709
10,0.0337086329113924
11,0.03102010126582279
12,0.030490759493670888
13,0.02732915189873418
14,0.02809707594936709
15,0.0389640253164557
16,0.07845512658227849
17,0.10566932911392406
18,0.09731203797468355
19,0.08967826582278482
20,0.08783054430379747
21,0.08624906329113924
22,0.09094398734177214
23,0.08966226582278482
