hour,export ($/kWh)
0,0.08902533333333333
1,0.08025221794871795
2,0.07894511538461539
3,0.07672865384615385
4,0.07474111538461538
5,0.07588596153846154
6,0.07149316666666666
7,0.052150064102564106
8,0.024362987179487178
9,0.021886846153846153
10,0.0239779358974359
11,0.0218909358974359
12,0.022044192307692306
13,0.02043
14,0.020350846153846153
15,0.0228034358974359
16,0.03208111538461538
17,0.34697746153846154
18,0.4437686538461538
19,0.43615064102564105
20,0.4286957179487179
21,0.3722659358974359
22,0.3665184871794872
23,0.08860705128205128
