hour,solar_kwh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.04700432727272727
6,0.5915916636363637
7,1.2951304000000001
8,2.462729618181818
9,3.3347639181818183
10,3.959428754545455
11,4.162029427272727
12,4.141137663636364
13,3.8026045727272724
14,3.2530116000000002
15,2.399866409090909
16,1.2682598363636364
17,0.2779232818181818
18,0.017565318181818182
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
