Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.829507376343,6.97928617734,0.0,6.59020504382,0.176455853473,0.176455853473,0.176455853473,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.362614986193
 01/01  02:00:00,0.724420445205,7.23579875512,0.0,6.92702815012,0.18547445127,0.18547445127,0.18547445127,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.284402254776
 01/01  03:00:00,0.688941911725,7.55925579812,0.0,7.27212168768,0.194714493771,0.194714493771,0.194714493771,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.263048291812
 01/01  04:00:00,0.681625251243,7.78686191638,0.0,7.49453732022,0.200669777409,0.200669777409,0.200669777409,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.268577815443
 01/01  05:00:00,0.682704112557,7.93324294472,0.0,7.57875263454,0.202924682236,0.202924682236,0.202924682236,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.331640567291
 01/01  06:00:00,0.732652385288,8.10497318089,0.0,7.47570159562,0.200165441984,0.200165441984,0.200165441984,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.603773108652
 01/01  07:00:00,0.927602956335,8.25218850606,0.0,7.1081320561,0.190323593912,0.190323593912,0.190323593912,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11459546771
 01/01  08:00:00,1.22978333058,8.83654222578,0.0,7.54463784514,0.202011242633,0.202011242633,0.202011242633,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26059987972
 01/01  09:00:00,1.19068558389,8.31544199616,0.0,7.05761697357,0.188971028712,0.188971028712,0.188971028712,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23135887526
 01/01  10:00:00,1.04910672001,7.78621396744,0.0,6.64189334504,0.177839832157,0.177839832157,0.177839832157,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12179579085
 01/01  11:00:00,1.08338302112,8.87030124408,0.0,7.8599954229,0.210455090762,0.210455090762,0.210455090762,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.98725124288
