Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 12/02  11:00:00,1.575866106,11.63615068,0,10.42079959,0,0.370302099,0.370302099,0.370302099,0.212223272,0.048359819,0.476182943,0.445397973
 12/02  12:00:00,1.525247554,9.470915348,0,8.409218822,0,0.298758005,0.298758005,0.298758005,0.212223272,0.048359819,0.496972028,0.445534431
 12/02  13:00:00,1.48736811,8.93678247,0,7.993476939,0,0.283939818,0.283939818,0.283939818,0.212223272,0.048359819,0.481415945,0.438029257
 12/02  14:00:00,1.333462793,5.363457738,0,4.491309761,0,0.159484736,0.159484736,0.159484736,0.212223272,0.048359819,0.436818903,0.453176063
 12/02  15:00:00,1.367525526,5.746270631,0,4.941377308,0,0.175416848,0.175416848,0.175416848,0.234562596,0.053450338,0.40200209,0.478693655
 12/02  16:00:00,1.549195517,6.757849651,0,5.944255863,0,0.211034214,0.211034214,0.211034214,0.323919639,0.07381235,0.411726406,0.505302909
 12/02  17:00:00,2.066049616,8.263188221,0,7.355525569,0,0.261214962,0.261214962,0.261214962,0.580821562,0.132353206,0.470575106,0.59768478
 12/02  18:00:00,2.846070715,8.705650348,0,7.61373695,0,0.270457504,0.270457504,0.270457504,1.016437699,0.231618119,0.578065906,0.726091487
 12/02  19:00:00,3.320196278,9.991263765,0,8.722699318,0,0.309931271,0.309931271,0.309931271,1.34035694,0.305430469,0.522761394,0.788316204
 12/02  20:00:00,3.11889849,10.32134869,0,9.014899764,0,0.320355956,0.320355956,0.320355956,1.251000297,0.285068456,0.425376441,0.813697339
 12/02  21:00:00,3.006261725,11.42060501,0,10.20685931,0,0.362760359,0.362760359,0.362760359,1.139303796,0.259615925,0.379510475,0.84167117
 12/02  22:00:00,2.782127427,12.27220003,0,11.18625336,0,0.397610147,0.397610147,0.397610147,0.960589451,0.218891838,0.359614732,0.822021259
 12/02  23:00:00,2.3302664,12.94157139,0,12.05739933,0,0.428604201,0.428604201,0.428604201,0.714857256,0.162896256,0.289154633,0.711354054
 12/02  24:00:00,1.914357687,13.71489933,0,13.05330608,0,0.464015504,0.464015504,0.464015504,0.502633987,0.114536438,0.191618322,0.618153437
 12/03  01:00:00,1.459800106,14.12152855,0,13.69450249,0,0.486813293,0.486813293,0.486813293,0.256901792,0.058540825,0.122837148,0.511307048
 12/03  02:00:00,1.282770694,14.21209101,0,13.88631519,0,0.493607311,0.493607311,0.493607311,0.156375021,0.035633569,0.102975686,0.470779108
 12/03  03:00:00,1.193468842,14.21879411,0,13.92056008,0,0.494817355,0.494817355,0.494817355,0.10052681,0.022907288,0.08649659,0.465320799
 12/03  04:00:00,1.181393233,14.35760926,0,14.05186197,0,0.499442699,0.499442699,0.499442699,0.10052681,0.022907288,0.076345607,0.458770829
 12/03  05:00:00,1.178191969,14.45208836,0,14.06718262,0,0.499955066,0.499955066,0.499955066,0.10052681,0.022907288,0.089962105,0.441440699
