Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly) 
 01/03  12:00:00,5.372869799,0,3.713206258,0,0.129901761,3.843108019,0.129901761,0.162434887,0.035320572,0.435735142,0.42941076,0.446430418
 01/03  13:00:00,4.544950507,0,2.986601897,0,0.104409928,3.091011825,0.104409928,0.162434887,0.035320572,0.425637022,0.422177195,0.387939007
 01/03  14:00:00,3.831932294,0,2.354588764,0,0.082261668,2.436850433,0.082261668,0.162434887,0.035320572,0.385966199,0.436775846,0.354154357
 01/03  15:00:00,3.720982236,0,2.274754567,0,0.079465673,2.35422024,0.079465673,0.17098414,0.03717956,0.356355589,0.461369969,0.320442738
 01/03  16:00:00,3.691701735,0,2.155057624,0,0.075203786,2.23026141,0.075203786,0.213730097,0.046474456,0.368490937,0.487016247,0.325298588
 01/03  17:00:00,4.512985567,0,2.593089857,0,0.090398849,2.683488706,0.090398849,0.359066582,0.078077074,0.428670867,0.576054864,0.367197474
 01/03  18:00:00,5.460189634,0,2.835337463,0,0.098828649,2.934166112,0.098828649,0.66683795,0.145000287,0.536821988,0.699814596,0.457118701
 01/03  19:00:00,5.784386856,0,2.650649102,0,0.092428693,2.743077795,0.092428693,0.991707725,0.215641454,0.482732692,0.759787431,0.541009758
 01/03  20:00:00,5.688203138,0,2.57244193,0,0.089711823,2.662153753,0.089711823,1.05155219,0.228654303,0.385424228,0.784250035,0.555738628
 01/03  21:00:00,5.71819819,0,2.838053471,0,0.098946265,2.936999736,0.098946265,0.906215706,0.197051685,0.338845877,0.811211507,0.507443679
 01/03  22:00:00,5.525042232,0,2.918178123,0,0.101730437,3.01990856,0.101730437,0.760879224,0.165449067,0.318073398,0.792272717,0.448029265
 01/03  23:00:00,5.261554411,0,3.136835235,0,0.109354966,3.246190201,0.109354966,0.572796679,0.12455153,0.256145886,0.685610504,0.355829611
 01/03  24:00:00,5.233823231,0,3.58413736,0,0.124940266,3.709077625,0.124940266,0.393263388,0.085512982,0.173494336,0.59578277,0.256262129
 01/04  01:00:00,5.10355781,0,3.938647807,0,0.137286941,4.075934748,0.137286941,0.205180949,0.044615468,0.115167851,0.492803099,0.149425695
 01/04  02:00:00,5.271853341,0,4.303053079,0,0.150006928,4.453060008,0.150006928,0.119688826,0.026025699,0.098370824,0.453741845,0.100536138
 01/04  03:00:00,5.41477514,0,4.513182767,0,0.157356844,4.670539611,0.157356844,0.08549205,0.018589782,0.083450145,0.44848107,0.087792482
 01/04  04:00:00,6.139822691,0,5.224357061,0,0.182180336,5.406537397,0.182180336,0.08549205,0.018589782,0.074752636,0.44216814,0.091852687
 01/04  05:00:00,6.951688302,0,5.975608596,0,0.208377406,6.183986003,0.208377406,0.08549205,0.018589782,0.086845757,0.425465179,0.130879531
 01/04  06:00:00,7.89729732,0,6.662395076,0,0.232372474,6.894767551,0.232372474,0.08549205,0.018589782,0.101815918,0.474784945,0.301417075
 01/04  07:00:00,8.43990285,0,6.616411837,0,0.23081252,6.847224357,0.23081252,0.196631694,0.042756502,0.165077845,0.548567315,0.619215138
 01/04  08:00:00,10.20000645,0,7.835787177,0,0.273538376,8.109325553,0.273538376,0.401812643,0.08737197,0.256398204,0.582893872,0.704274207
 01/04  09:00:00,7.944306876,0,5.754067505,0,0.200993235,5.95506074,0.200993235,0.384714237,0.083654016,0.328206966,0.492803099,0.679437817
 01/04  10:00:00,7.484741018,0,5.602072105,0,0.195830333,5.797902438,0.195830333,0.196631694,0.042756502,0.399981311,0.419415288,0.607623785
 01/04  11:00:00,8.011467669,0,6.206281333,0,0.216729772,6.423011105,0.216729772,0.162434887,0.035320572,0.416780676,0.429279241,0.524211188
 01/04  12:00:00,8.012090356,0,6.259528851,0,0.218409205,6.477938056,0.218409205,0.162434887,0.035320572,0.435735142,0.42941076,0.450820938
 01/04  13:00:00,7.480414092,0,5.817788413,0,0.203123775,6.020912187,0.203123775,0.162434887,0.035320572,0.425637022,0.422177195,0.393502229
 01/04  14:00:00,7.265791137,0,5.666868303,0,0.197889314,5.864757617,0.197889314,0.162434887,0.035320572,0.385966199,0.436775846,0.360106016
 01/04  15:00:00,6.86376565,0,5.305755559,0,0.185253968,5.491009528,0.185253968,0.17098414,0.03717956,0.356355589,0.461369969,0.326436865
 01/04  16:00:00,6.429537222,0,4.795160567,0,0.167431178,4.962591745,0.167431178,0.213730097,0.046474456,0.368490937,0.487016247,0.330803739
 01/04  17:00:00,6.760161363,0,4.76000859,0,0.166207122,4.926215712,0.166207122,0.359066582,0.078077074,0.428670867,0.576054864,0.371646264
 01/04  18:00:00,7.278646915,0,4.588965645,0,0.160139546,4.749105191,0.160139546,0.66683795,0.145000287,0.536821988,0.699814596,0.460636902
 01/04  19:00:00,7.257628618,0,4.071265059,0,0.142077838,4.213342898,0.142077838,0.991707725,0.215641454,0.482732692,0.759787431,0.543986418
 01/04  20:00:00,6.944477878,0,3.783625528,0,0.132031708,3.915657235,0.132031708,1.05155219,0.228654303,0.385424228,0.784250035,0.558509885
 01/04  21:00:00,6.864885324,0,3.943885708,0,0.137564624,4.081450331,0.137564624,0.906215706,0.197051685,0.338845877,0.811211507,0.509680218
 01/04  22:00:00,7.053896131,0,4.393336024,0,0.153154178,4.546490202,0.153154178,0.760879224,0.165449067,0.318073398,0.792272717,0.450301522
 01/04  23:00:00,7.003366772,0,4.817781802,0,0.167935418,4.98571722,0.167935418,0.572796679,0.12455153,0.256145886,0.685610504,0.358114953
 01/04  24:00:00,6.833225038,0,5.127367873,0,0.17875956,5.306127433,0.17875956,0.393263388,0.085512982,0.173494336,0.59578277,0.258614129
 01/05  01:00:00,6.840929379,0,5.614929164,0,0.195786736,5.8107159,0.195786736,0.205180949,0.044615468,0.115167851,0.492803099,0.152016112
 01/05  02:00:00,7.234667708,0,6.196914855,0,0.216100315,6.41301517,0.216100315,0.119688826,0.026025699,0.098370824,0.453741845,0.103395343
 01/05  03:00:00,7.884815075,0,6.896979648,0,0.240553871,7.137533519,0.240553871,0.08549205,0.018589782,0.083450145,0.44848107,0.090838509
 01/05  04:00:00,8.07250221,0,7.088757972,0,0.247334015,7.336091987,0.247334015,0.08549205,0.018589782,0.074752636,0.44216814,0.094977616
 01/05  05:00:00,8.244883858,0,7.222185184,0,0.252077153,7.474262337,0.252077153,0.08549205,0.018589782,0.086845757,0.425465179,0.133798753
 01/05  06:00:00,8.735593647,0,7.468722858,0,0.260733477,7.729456335,0.260733477,0.08549205,0.018589782,0.101815918,0.474784945,0.305024618
 01/05  07:00:00,9.875442144,0,7.999569712,0,0.279258703,8.278828415,0.279258703,0.196631694,0.042756502,0.165077845,0.548567315,0.623150374
 01/05  08:00:00,8.500544685,0,6.189941149,0,0.216331196,6.406272345,0.216331196,0.401812643,0.08737197,0.256398204,0.582893872,0.707865652
 01/05  09:00:00,6.770677933,0,4.617558701,0,0.16153719,4.779095891,0.16153719,0.384714237,0.083654016,0.328206966,0.492803099,0.681773724
 01/05  10:00:00,5.256006794,0,3.448951825,0,0.120600952,3.569552776,0.120600952,0.196631694,0.042756502,0.399981311,0.419415288,0.607239223
 01/05  11:00:00,4.419896668,0,2.739466137,0,0.095715324,2.835181462,0.095715324,0.162434887,0.035320572,0.416780676,0.429279241,0.52046983
 01/05  12:00:00,2.827976154,0,1.256692015,0,0.043957645,1.300649661,0.043957645,0.162434887,0.035320572,0.435735142,0.42941076,0.443995131
 01/05  13:00:00,1.698496251,0,0.239311899,0,0.008391483,0.247703381,0.008391483,0.162434887,0.035320572,0.425637022,0.422177195,0.384793194
 01/05  14:00:00,1.391725778,0,0,0,0,0,0,0.162434887,0.035320572,0.385966199,0.436775846,0.350798274
 01/05  15:00:00,1.363630508,0,0,0,0,0,0,0.17098414,0.03717956,0.356355589,0.461369969,0.317311251
 01/05  16:00:00,1.458756192,0,0,0,0,0,0,0.213730097,0.046474456,0.368490937,0.487016247,0.322614455
 01/05  17:00:00,1.833624429,0,0.006469694,0,0.000227164,0.006696858,0.000227164,0.359066582,0.078077074,0.428670867,0.576054864,0.364628184
 01/05  18:00:00,4.120907731,0,1.542438043,0,0.053876686,1.596314729,0.053876686,0.66683795,0.145000287,0.536821988,0.699814596,0.45568818
 01/05  19:00:00,4.143344329,0,1.065540916,0,0.037123491,1.102664406,0.037123491,0.991707725,0.215641454,0.482732692,0.759787431,0.54038062
 01/05  20:00:00,4.433313092,0,1.359594622,0,0.047366503,1.406961125,0.047366503,1.05155219,0.228654303,0.385424228,0.784250035,0.55604121
 01/05  21:00:00,4.51636998,0,1.67631995,0,0.05838285,1.7347028,0.05838285,0.906215706,0.197051685,0.338845877,0.811211507,0.507912405
 01/05  22:00:00,5.762532718,0,3.146419026,0,0.109540953,3.255959979,0.109540953,0.760879224,0.165449067,0.318073398,0.792272717,0.449468332
 01/05  23:00:00,5.943751839,0,3.794508164,0,0.132150867,3.926659031,0.132150867,0.572796679,0.12455153,0.256145886,0.685610504,0.357558209
 01/05  24:00:00,6.128505051,0,4.446967823,0,0.154995,4.601962823,0.154995,0.393263388,0.085512982,0.173494336,0.59578277,0.258058752
 01/06  01:00:00,7.194801447,0,5.957119263,0,0.207645917,6.164765181,0.207645917,0.205180949,0.044615468,0.115167851,0.492803099,0.151838899
 01/06  02:00:00,7.27326866,0,6.234235596,0,0.217443105,6.451678702,0.217443105,0.119688826,0.026025699,0.098370824,0.453741845,0.103332763
 01/06  03:00:00,7.577189156,0,6.599173934,0,0.230345722,6.829519657,0.230345722,0.08549205,0.018589782,0.083450145,0.44848107,0.091226452
 01/06  04:00:00,8.148959352,0,7.162247989,0,0.250031301,7.412279289,0.250031301,0.08549205,0.018589782,0.074752636,0.44216814,0.095247455
 01/06  05:00:00,8.91018299,0,7.864262684,0,0.274560763,8.138823447,0.274560763,0.08549205,0.018589782,0.086845757,0.425465179,0.134536775
 01/06  06:00:00,8.960133677,0,7.685211319,0,0.268333811,7.95354513,0.268333811,0.08549205,0.018589782,0.101815918,0.474784945,0.305475852
 01/06  07:00:00,9.31528845,0,7.457516342,0,0.26056593,7.718082272,0.26056593,0.196631694,0.042756502,0.165077845,0.548567315,0.623742823
 01/06  08:00:00,8.490386973,0,6.179301836,0,0.216120809,6.395422645,0.216120809,0.401812643,0.08737197,0.256398204,0.582893872,0.70855764
 01/06  09:00:00,6.783633554,0,4.629528881,0,0.162012831,4.791541713,0.162012831,0.384714237,0.083654016,0.328206966,0.492803099,0.682283522
 01/06  10:00:00,6.014234965,0,4.180108842,0,0.146139764,4.326248606,0.146139764,0.196631694,0.042756502,0.399981311,0.419415288,0.608771564
 01/06  11:00:00,5.050709635,0,3.346790082,0,0.116950873,3.463740955,0.116950873,0.162434887,0.035320572,0.416780676,0.429279241,0.522723304
 01/06  12:00:00,3.614386152,0,2.014304802,0,0.070440755,2.084745556,0.070440755,0.162434887,0.035320572,0.435735142,0.42941076,0.446309233
 01/06  13:00:00,2.293014006,0,0.811991239,0,0.028428645,0.840419884,0.028428645,0.162434887,0.035320572,0.425637022,0.422177195,0.386594447
 01/06  14:00:00,1.593124023,0,0.193415122,0,0.006777476,0.200192598,0.006777476,0.162434887,0.035320572,0.385966199,0.436775846,0.352003922
 01/06  15:00:00,1.364617999,0,0,0,0,0,0,0.17098414,0.03717956,0.356355589,0.461369969,0.318298742
 01/06  16:00:00,1.459292165,0,0,0,0,0,0,0.213730097,0.046474456,0.368490937,0.487016247,0.323150427
 01/06  17:00:00,2.666116953,0,0.810419425,0,0.028311243,0.838730668,0.028311243,0.359066582,0.078077074,0.428670867,0.576054864,0.365086898
 01/06  18:00:00,4.491776211,0,1.90078844,0,0.066201914,1.966990354,0.066201914,0.66683795,0.145000287,0.536821988,0.699814596,0.455881036
 01/06  19:00:00,4.918749399,0,1.814591946,0,0.063188685,1.877780632,0.063188685,0.991707725,0.215641454,0.482732692,0.759787431,0.540669465
 01/06  20:00:00,4.532319306,0,1.455723401,0,0.05072878,1.506452181,0.05072878,1.05155219,0.228654303,0.385424228,0.784250035,0.555556368
 01/06  21:00:00,5.46960919,0,2.597884342,0,0.090467007,2.688351349,0.090467007,0.906215706,0.197051685,0.338845877,0.811211507,0.507503067
 01/06  22:00:00,5.757743989,0,3.141981419,0,0.109392533,3.251373952,0.109392533,0.760879224,0.165449067,0.318073398,0.792272717,0.449265629
 01/06  23:00:00,5.61747133,0,3.479868139,0,0.121230379,3.601098518,0.121230379,0.572796679,0.12455153,0.256145886,0.685610504,0.356838213
 01/06  24:00:00,5.914954223,0,4.241022811,0,0.147759138,4.38878195,0.147759138,0.393263388,0.085512982,0.173494336,0.59578277,0.257688797
 01/07  01:00:00,5.958300492,0,4.746671583,0,0.165402655,4.912074238,0.165402655,0.205180949,0.044615468,0.122837148,0.492803099,0.16035959
 01/07  02:00:00,6.304089381,0,5.289705039,0,0.184377527,5.474082566,0.184377527,0.119688826,0.026025699,0.102975686,0.453741845,0.107144759
 01/07  03:00:00,6.774306145,0,5.818271499,0,0.202842145,6.021113643,0.202842145,0.08549205,0.018589782,0.08649659,0.44848107,0.093703009
 01/07  04:00:00,7.252448406,0,6.292053848,0,0.21940431,6.511458158,0.21940431,0.08549205,0.018589782,0.076345607,0.44216814,0.097964669
 01/07  05:00:00,7.345756979,0,6.34371152,0,0.221272457,6.564983977,0.221272457,0.08549205,0.018589782,0.089962105,0.425465179,0.140833885
 01/07  06:00:00,7.70716874,0,6.448931333,0,0.225011041,6.673942374,0.225011041,0.08549205,0.018589782,0.106595392,0.474784945,0.327334196
 01/07  07:00:00,8.335171714,0,6.448718394,0,0.225018526,6.673736921,0.225018526,0.196631694,0.042756502,0.177474276,0.548567315,0.675575007
 01/07  08:00:00,7.335219742,0,4.978903486,0,0.173887057,5.152790543,0.173887057,0.401812643,0.08737197,0.281086459,0.582893872,0.771334255
 01/07  09:00:00,5.970941216,0,3.745286816,0,0.130838568,3.876125384,0.130838568,0.384714237,0.083654016,0.366050484,0.492803099,0.747163996
 01/07  10:00:00,4.650302283,0,2.754909501,0,0.096177502,2.851087003,0.096177502,0.196631694,0.042756502,0.452517545,0.419415288,0.66746425
 01/07  11:00:00,3.895204963,0,2.124932815,0,0.074114945,2.19904776,0.074114945,0.162434887,0.035320572,0.476182943,0.429279241,0.57250956
 01/07  12:00:00,2.620638946,0,0.955394378,0,0.033335447,0.988729826,0.033335447,0.162434887,0.035320572,0.496972028,0.42941076,0.487340873
 01/07  13:00:00,1.935423298,0,0.378285215,0,0.013200825,0.39148604,0.013200825,0.162434887,0.035320572,0.481415945,0.422177195,0.422158658
 01/07  14:00:00,1.850325646,0,0.362331616,0,0.012629842,0.374961457,0.012629842,0.162434887,0.035320572,0.436818903,0.436775846,0.38358398
 01/07  15:00:00,1.709026058,0,0.261477179,0,0.00911084,0.270588019,0.00911084,0.17098414,0.03717956,0.40200209,0.461369969,0.346472281
 01/07  16:00:00,1.683763364,0,0.147642988,0,0.005139267,0.152782254,0.005139267,0.213730097,0.046474456,0.411726406,0.487016247,0.351603904
 01/07  17:00:00,2.317023865,0,0.398944314,0,0.013873809,0.412818123,0.013873809,0.359066582,0.078077074,0.470575106,0.576054864,0.400002117
 01/07  18:00:00,3.510070581,0,0.871920876,0,0.030289278,0.902210154,0.030289278,0.66683795,0.145000287,0.578065906,0.699814596,0.497711687
 01/07  19:00:00,3.891194447,0,0.7302463,0,0.02535887,0.75560517,0.02535887,0.991707725,0.215641454,0.522761394,0.759787431,0.595261273
 01/07  20:00:00,4.169474865,0,1.006732031,0,0.034954093,1.041686125,0.034954093,1.05155219,0.228654303,0.425376441,0.784250035,0.61752577
 01/07  21:00:00,4.40787381,0,1.476206371,0,0.051238381,1.527444752,0.051238381,0.906215706,0.197051685,0.379510475,0.811211507,0.566009684
 01/07  22:00:00,4.226644182,0,1.57659265,0,0.054728547,1.631321198,0.054728547,0.760879224,0.165449067,0.359614732,0.792272717,0.496677243
 01/07  23:00:00,4.21731396,0,2.059636741,0,0.071504792,2.131141533,0.071504792,0.572796679,0.12455153,0.289154633,0.685610504,0.393629081
 01/07  24:00:00,3.952879556,0,2.307282096,0,0.080106942,2.387389038,0.080106942,0.393263388,0.085512982,0.191618322,0.59578277,0.278883055
 01/08  01:00:00,4.553620296,0,3.393080177,0,0.117801871,3.510882048,0.117801871,0.205180949,0.044615468,0.122837148,0.492803099,0.156871584
 01/08  02:00:00,4.42787555,0,3.480581764,0,0.120863411,3.601445175,0.120863411,0.119688826,0.026025699,0.102975686,0.453741845,0.103568319
 01/08  03:00:00,4.903742222,0,4.014863429,0,0.139484488,4.154347917,0.139484488,0.08549205,0.018589782,0.08649659,0.44848107,0.089904812
 01/08  04:00:00,5.318516888,0,4.427013761,0,0.153823992,4.580837753,0.153823992,0.08549205,0.018589782,0.076345607,0.44216814,0.094653555
 01/08  05:00:00,5.720219842,0,4.7765571,0,0.166004395,4.942561494,0.166004395,0.08549205,0.018589782,0.089962105,0.425465179,0.137719231
 01/08  06:00:00,6.454318238,0,5.241903028,0,0.182209534,5.424112562,0.182209534,0.08549205,0.018589782,0.106595392,0.474784945,0.324313507
 01/08  07:00:00,7.659639152,0,5.799296159,0,0.201606029,6.000902188,0.201606029,0.196631694,0.042756502,0.177474276,0.548567315,0.672877178
 01/08  08:00:00,8.062047145,0,5.684068294,0,0.197615342,5.881683636,0.197615342,0.401812643,0.08737197,0.281086459,0.582893872,0.769268565
 01/08  09:00:00,6.230007236,0,3.997135105,0,0.139211885,4.13634699,0.139211885,0.384714237,0.083654016,0.366050484,0.492803099,0.746008409
 01/08  10:00:00,4.854674639,0,2.953662168,0,0.102905828,3.056567996,0.102905828,0.196631694,0.042756502,0.452517545,0.419415288,0.666355614
 01/08  11:00:00,4.441297359,0,2.653800182,0,0.092363848,2.74616403,0.092363848,0.162434887,0.035320572,0.476182943,0.429279241,0.571485685
 01/08  12:00:00,3.519728822,0,1.824590817,0,0.063496822,1.888087639,0.063496822,0.162434887,0.035320572,0.496972028,0.42941076,0.487072935
 01/08  13:00:00,2.701577035,0,1.118251959,0,0.038923274,1.157175233,0.038923274,0.162434887,0.035320572,0.481415945,0.422177195,0.422623203
