Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly) 
 01/01  01:00:00,5.645358926,0,4.447122753,0,0.154716193,4.601838946,0.154716193,0.205180949,0.044615468,0.122837148,0.492803099,0.157653317
 01/01  02:00:00,5.532048574,0,4.546428586,0,0.158265832,4.704694418,0.158265832,0.119688826,0.026025699,0.102975686,0.453741845,0.104492101
 01/01  03:00:00,5.933386336,0,5.008991985,0,0.174415571,5.183407556,0.174415571,0.08549205,0.018589782,0.08649659,0.44848107,0.090489287
 01/01  04:00:00,6.103366826,0,5.185202858,0,0.180523039,5.365725897,0.180523039,0.08549205,0.018589782,0.076345607,0.44216814,0.094615349
 01/01  05:00:00,6.104612759,0,5.148311214,0,0.179254726,5.32756594,0.179254726,0.08549205,0.018589782,0.089962105,0.425465179,0.137107703
 01/01  06:00:00,6.550413166,0,5.336573496,0,0.185845036,5.522418532,0.185845036,0.08549205,0.018589782,0.106595392,0.474784945,0.322102465
 01/01  07:00:00,7.06275292,0,5.226612239,0,0.182006163,5.408618402,0.182006163,0.196631694,0.042756502,0.177474276,0.548567315,0.668274731
 01/01  08:00:00,7.912945939,0,5.544970353,0,0.193109508,5.738079861,0.193109508,0.401812643,0.08737197,0.281086459,0.582893872,0.763771134
 01/01  09:00:00,6.195250544,0,3.968643207,0,0.138338289,4.106981495,0.138338289,0.384714237,0.083654016,0.366050484,0.492803099,0.740617212
 01/01  10:00:00,4.772126168,0,2.878676744,0,0.100407474,2.979084218,0.100407474,0.196631694,0.042756502,0.452517545,0.419415288,0.66129092
 01/01  11:00:00,4.110723668,0,2.338938747,0,0.081517285,2.420456032,0.081517285,0.162434887,0.035320572,0.476182943,0.429279241,0.566619993
 01/01  12:00:00,3.024346483,0,1.35030028,0,0.047071131,1.397371411,0.047071131,0.162434887,0.035320572,0.496972028,0.42941076,0.482406825
 01/01  13:00:00,2.386436751,0,0.817502001,0,0.028495947,0.845997948,0.028495947,0.162434887,0.035320572,0.481415945,0.422177195,0.418660204
 01/01  14:00:00,2.008396757,0,0.517932609,0,0.018053232,0.535985841,0.018053232,0.162434887,0.035320572,0.436818903,0.436775846,0.380630707
 01/01  15:00:00,1.735259659,0,0.288536115,0,0.010050102,0.298586218,0.010050102,0.17098414,0.03717956,0.40200209,0.461369969,0.344707683
 01/01  16:00:00,2.08133486,0,0.533104829,0,0.018547808,0.551652638,0.018547808,0.213730097,0.046474456,0.411726406,0.487016247,0.350305017
 01/01  17:00:00,3.711854508,0,1.747617207,0,0.060715952,1.808333159,0.060715952,0.359066582,0.078077074,0.470575106,0.576054864,0.399317724
 01/01  18:00:00,4.950773738,0,2.264654734,0,0.078682289,2.343337023,0.078682289,0.66683795,0.145000287,0.578065906,0.699814596,0.497287975
 01/01  19:00:00,5.542721194,0,2.326781676,0,0.080920527,2.407702203,0.080920527,0.991707725,0.215641454,0.522761394,0.759787431,0.594690987
 01/01  20:00:00,5.86518438,0,2.646308992,0,0.092051502,2.738360495,0.092051502,1.05155219,0.228654303,0.425376441,0.784250035,0.616560915
 01/01  21:00:00,5.833337114,0,2.854531588,0,0.099303084,2.953834672,0.099303084,0.906215706,0.197051685,0.379510475,0.811211507,0.565083068
 01/01  22:00:00,5.497414706,0,2.804847946,0,0.097579346,2.902427293,0.097579346,0.760879224,0.165449067,0.359614732,0.792272717,0.496341673
 01/01  23:00:00,5.874968704,0,3.661597353,0,0.127400201,3.788997554,0.127400201,0.572796679,0.12455153,0.289154633,0.685610504,0.393427804
 01/01  24:00:00,5.891630436,0,4.17991921,0,0.145408328,4.325327537,0.145408328,0.393263388,0.085512982,0.191618322,0.59578277,0.279695436
 01/02  01:00:00,6.106030319,0,4.908286181,0,0.170800004,5.079086185,0.170800004,0.205180949,0.044615468,0.115167851,0.492803099,0.148746767
 01/02  02:00:00,6.527554844,0,5.516775712,0,0.192039026,5.708814738,0.192039026,0.119688826,0.026025699,0.098370824,0.453741845,0.100482912
 01/02  03:00:00,7.102263748,0,6.143557588,0,0.213935139,6.357492728,0.213935139,0.08549205,0.018589782,0.083450145,0.44848107,0.088327973
 01/02  04:00:00,7.876656581,0,6.902103857,0,0.240406891,7.142510747,0.240406891,0.08549205,0.018589782,0.074752636,0.44216814,0.092713226
 01/02  05:00:00,8.337339367,0,7.314015573,0,0.254849899,7.568865472,0.254849899,0.08549205,0.018589782,0.086845757,0.425465179,0.131651127
 01/02  06:00:00,8.769646631,0,7.504422518,0,0.261617363,7.766039881,0.261617363,0.08549205,0.018589782,0.101815918,0.474784945,0.302494055
 01/02  07:00:00,9.97691476,0,8.10155232,0,0.282485848,8.384038169,0.282485848,0.196631694,0.042756502,0.165077845,0.548567315,0.619413235
 01/02  08:00:00,9.288384486,0,6.955472828,0,0.242276254,7.197749082,0.242276254,0.401812643,0.08737197,0.256398204,0.582893872,0.704228716
 01/02  09:00:00,8.113179567,0,5.918054559,0,0.206625421,6.12467998,0.206625421,0.384714237,0.083654016,0.328206966,0.492803099,0.678691268
 01/02  10:00:00,6.932124664,0,5.070609136,0,0.177030211,5.247639347,0.177030211,0.196631694,0.042756502,0.399981311,0.419415288,0.605270522
 01/02  11:00:00,6.169093736,0,4.430526198,0,0.154636776,4.585162974,0.154636776,0.162434887,0.035320572,0.416780676,0.429279241,0.519685386
 01/02  12:00:00,4.868361473,0,3.228270541,0,0.112723199,3.34099374,0.112723199,0.162434887,0.035320572,0.435735142,0.42941076,0.444036371
 01/02  13:00:00,3.973258249,0,2.436664298,0,0.085074919,2.521739217,0.085074919,0.162434887,0.035320572,0.425637022,0.422177195,0.385519357
 01/02  14:00:00,3.132181312,0,1.680636123,0,0.058665249,1.739301372,0.058665249,0.162434887,0.035320572,0.385966199,0.436775846,0.351952437
 01/02  15:00:00,2.86563977,0,1.450307859,0,0.050625024,1.500932883,0.050625024,0.17098414,0.03717956,0.356355589,0.461369969,0.318387629
 01/02  16:00:00,3.207056469,0,1.687955162,0,0.058808634,1.746763796,0.058808634,0.213730097,0.046474456,0.368490937,0.487016247,0.324150935
 01/02  17:00:00,4.598332459,0,2.676474097,0,0.093158073,2.76963217,0.093158073,0.359066582,0.078077074,0.428670867,0.576054864,0.366400902
 01/02  18:00:00,6.595086844,0,3.932158533,0,0.136848807,4.069007339,0.136848807,0.66683795,0.145000287,0.536821988,0.699814596,0.457174684
 01/02  19:00:00,6.761874213,0,3.594839721,0,0.125258617,3.720098338,0.125258617,0.991707725,0.215641454,0.482732692,0.759787431,0.541476572
 01/02  20:00:00,7.102141004,0,3.937730113,0,0.137266417,4.07499653,0.137266417,1.05155219,0.228654303,0.385424228,0.784250035,0.556833717
 01/02  21:00:00,7.659243042,0,4.712540037,0,0.164222869,4.876762905,0.164222869,0.906215706,0.197051685,0.338845877,0.811211507,0.508725361
 01/02  22:00:00,7.747413035,0,5.06394966,0,0.176519207,5.240468867,0.176519207,0.760879224,0.165449067,0.318073398,0.792272717,0.449839761
 01/02  23:00:00,8.335941656,0,6.105415469,0,0.212847102,6.318262571,0.212847102,0.572796679,0.12455153,0.256145886,0.685610504,0.358144487
 01/02  24:00:00,8.821992478,0,7.048528085,0,0.245771708,7.294299793,0.245771708,0.393263388,0.085512982,0.173494336,0.59578277,0.259209209
 01/03  01:00:00,9.330221701,0,8.018803257,0,0.279745925,8.298549182,0.279745925,0.205180949,0.044615468,0.115167851,0.492803099,0.153475153
 01/03  02:00:00,9.207036252,0,8.101402533,0,0.282485848,8.383888382,0.282485848,0.119688826,0.026025699,0.098370824,0.453741845,0.104890676
 01/03  03:00:00,9.181408616,0,8.14968081,0,0.282485848,8.432166659,0.282485848,0.08549205,0.018589782,0.083450145,0.44848107,0.092798909
 01/03  04:00:00,9.226704438,0,8.20596245,0,0.282485848,8.488448298,0.282485848,0.08549205,0.018589782,0.074752636,0.44216814,0.096823532
 01/03  05:00:00,9.320766826,0,8.26548308,0,0.282485848,8.547968928,0.282485848,0.08549205,0.018589782,0.086845757,0.425465179,0.135975129
 01/03  06:00:00,9.604769739,0,8.314795876,0,0.282485848,8.597281725,0.282485848,0.08549205,0.018589782,0.101815918,0.474784945,0.30637532
 01/03  07:00:00,10.23597027,0,8.355891033,0,0.282485848,8.638376882,0.282485848,0.196631694,0.042756502,0.165077845,0.548567315,0.62413003
 01/03  08:00:00,10.68445914,0,8.307065819,0,0.282485848,8.589551667,0.282485848,0.401812643,0.08737197,0.256398204,0.582893872,0.70850078
 01/03  09:00:00,9.867802845,0,7.61168664,0,0.264133757,7.875820397,0.264133757,0.384714237,0.083654016,0.328206966,0.492803099,0.682174129
 01/03  10:00:00,8.046376949,0,6.143954842,0,0.214788203,6.358743045,0.214788203,0.196631694,0.042756502,0.399981311,0.419415288,0.608419109
 01/03  11:00:00,6.674155683,0,4.915610775,0,0.171993197,5.087603972,0.171993197,0.162434887,0.035320572,0.416780676,0.429279241,0.522306335
