Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,0.408647658,0.258177791,0,0,0,0,0,0,0.051581982,0.008615098,0.038977013,0.299651565
 01/01  02:00:00,0.357440945,0.202904855,0,0,0,0,0,0,0.0300895,0.005025476,0.036603809,0.27590016
 01/01  03:00:00,0.342143888,0.183659191,0,0,0,0,0,0,0.021492492,0.003589625,0.034538454,0.272701317
 01/01  04:00:00,0.337043779,0.189243731,0,0,0,0,0,0,0.021492492,0.003589625,0.033276956,0.268862706
 01/01  05:00:00,0.327440982,0.242706738,0,0,0,0,0,0,0.021492492,0.003589625,0.033830483,0.258706382
 01/01  06:00:00,0.359644878,0.455396127,0,0,0,0,0,0,0.021492492,0.003589625,0.036045231,0.28869553
 01/01  07:00:00,0.451515756,1.249829326,0,0.384427267,0,0.007587405,0.007587405,0.007587405,0.04943272,0.008256138,0.042858198,0.333559295
 01/01  08:00:00,0.549340891,0.98931637,0,0,0,0,0,0,0.101014729,0.016871236,0.052201185,0.354431742
 01/01  09:00:00,0.482851276,0.939748536,0,0,0,0,0,0,0.096716233,0.016153312,0.060508167,0.299651565
 01/01  10:00:00,0.386304297,0.842335577,0,0,0,0,0,0,0.04943272,0.008256138,0.063765725,0.255027713
 01/01  11:00:00,0.378283314,0.729900795,0,0,0,0,0,0,0.040835728,0.006820289,0.059779755,0.261025543
 01/01  12:00:00,0.377474732,0.659607234,0,0,0,0,0,0,0.040835728,0.006820289,0.058891201,0.261105514
 01/01  13:00:00,0.374344815,0.60894109,0,0,0,0,0,0,0.040835728,0.006820289,0.060159692,0.256707105
 01/01  14:00:00,0.381313514,0.546195814,0,0,0,0,0,0,0.040835728,0.006820289,0.058251604,0.265583893
 01/01  15:00:00,0.395735437,0.509003793,0,0,0,0,0,0,0.042984989,0.007179249,0.055210717,0.280538481
 01/01  16:00:00,0.426270256,0.544560797,0,0,0,0,0,0,0.053731243,0.008974063,0.057610112,0.296132838
 01/01  17:00:00,0.532542552,0.674727556,0,0,0,0,0,0,0.090268475,0.015076423,0.067102408,0.350273246
 01/01  18:00:00,0.715237537,0.908908287,0,0,0,0,0,0,0.167641434,0.027999077,0.084249012,0.425526015
 01/01  19:00:00,0.878050704,0.936445775,0,0,0,0,0,0,0.249312916,0.041639651,0.085283318,0.461992818
 01/01  20:00:00,0.872056998,0.8341086,0,0,0,0,0,0,0.264357667,0.044152388,0.076857507,0.476867436
 01/01  21:00:00,0.836113923,0.732854221,0,0,0,0,0,0,0.227820435,0.038050024,0.067159962,0.493261503
 01/01  22:00:00,0.774816579,0.643011798,0,0,0,0,0,0,0.191283177,0.031947663,0.060018069,0.48174567
 01/01  23:00:00,0.64608513,0.5219464,0,0,0,0,0,0,0.143999691,0.02405049,0.051323808,0.41688914
 01/01  24:00:00,0.531682275,0.395188989,0,0,0,0,0,0,0.098865467,0.016512276,0.044213625,0.362268906
 01/02  01:00:00,0.408319219,0.248615886,0,0,0,0,0,0,0.051581982,0.008615098,0.038648574,0.299651565
 01/02  02:00:00,0.357240917,0.197512204,0,0,0,0,0,0,0.0300895,0.005025476,0.036403781,0.27590016
 01/02  03:00:00,0.342024436,0.180491096,0,0,0,0,0,0,0.021492492,0.003589625,0.034419002,0.272701317
 01/02  04:00:00,0.336943846,0.186186615,0,0,0,0,0,0,0.021492492,0.003589625,0.033177023,0.268862706
 01/02  05:00:00,0.327280106,0.235999653,0,0,0,0,0,0,0.021492492,0.003589625,0.033669607,0.258706382
 01/02  06:00:00,0.359344754,0.432418849,0,0,0,0,0,0,0.021492492,0.003589625,0.035745107,0.28869553
 01/02  07:00:00,0.452694947,1.285685256,0,0.474591018,0,0.009366959,0.009366959,0.009366959,0.04943272,0.008256138,0.042257835,0.333559295
 01/02  08:00:00,0.548196518,0.926598381,0,0,0,0,0,0,0.101014729,0.016871236,0.051056811,0.354431742
 01/02  09:00:00,0.480997371,0.877969909,0,0,0,0,0,0,0.096716233,0.016153312,0.058654261,0.299651565
 01/02  10:00:00,0.384158785,0.788658112,0,0,0,0,0,0,0.04943272,0.008256138,0.061620214,0.255027713
 01/02  11:00:00,0.376266213,0.686034407,0,0,0,0,0,0,0.040835728,0.006820289,0.057762654,0.261025543
 01/02  12:00:00,0.375707927,0.624071902,0,0,0,0,0,0,0.040835728,0.006820289,0.057124397,0.261105514
 01/02  13:00:00,0.372778316,0.578930605,0,0,0,0,0,0,0.040835728,0.006820289,0.058593194,0.256707105
 01/02  14:00:00,0.379809952,0.521660112,0,0,0,0,0,0,0.040835728,0.006820289,0.056748042,0.265583893
 01/02  15:00:00,0.3944517,0.487113284,0,0,0,0,0,0,0.042984989,0.007179249,0.05392698,0.280538481
 01/02  16:00:00,0.425067096,0.521753968,0,0,0,0,0,0,0.053731243,0.008974063,0.056406952,0.296132838
 01/02  17:00:00,0.531289287,0.644466481,0,0,0,0,0,0,0.090268475,0.015076423,0.065849143,0.350273246
 01/02  18:00:00,0.713877652,0.869551971,0,0,0,0,0,0,0.167641434,0.027999077,0.082889127,0.425526015
 01/02  19:00:00,0.87625968,0.882486845,0,0,0,0,0,0,0.249312916,0.041639651,0.083492295,0.461992818
 01/02  20:00:00,0.869991677,0.772486946,0,0,0,0,0,0,0.264357667,0.044152388,0.074792186,0.476867436
 01/02  21:00:00,0.834283748,0.673596313,0,0,0,0,0,0,0.227820435,0.038050024,0.065329786,0.493261503
 01/02  22:00:00,0.773291173,0.592820561,0,0,0,0,0,0,0.191283177,0.031947663,0.058492662,0.48174567
 01/02  23:00:00,0.645058112,0.480613981,0,0,0,0,0,0,0.143999691,0.02405049,0.05029679,0.41688914
 01/02  24:00:00,0.531055591,0.367438615,0,0,0,0,0,0,0.098865467,0.016512276,0.043586942,0.362268906
 01/03  01:00:00,0.408319219,0.246680956,0,0,0,0,0,0,0.051581982,0.008615098,0.038648574,0.299651565
 01/03  02:00:00,0.357240917,0.19488064,0,0,0,0,0,0,0.0300895,0.005025476,0.036403781,0.27590016
 01/03  03:00:00,0.342024436,0.176702031,0,0,0,0,0,0,0.021492492,0.003589625,0.034419002,0.272701317
 01/03  04:00:00,0.336943846,0.183174834,0,0,0,0,0,0,0.021492492,0.003589625,0.033177023,0.268862706
 01/03  05:00:00,0.327280106,0.232191274,0,0,0,0,0,0,0.021492492,0.003589625,0.033669607,0.258706382
 01/03  06:00:00,0.359344754,0.429543394,0,0,0,0,0,0,0.021492492,0.003589625,0.035745107,0.28869553
 01/03  07:00:00,0.443327988,0.808688232,0,0,0,0,0,0,0.04943272,0.008256138,0.042257835,0.333559295
 01/03  08:00:00,0.548196518,0.923685748,0,0,0,0,0,0,0.101014729,0.016871236,0.051056811,0.354431742
 01/03  09:00:00,0.480997371,0.875542868,0,0,0,0,0,0,0.096716233,0.016153312,0.058654261,0.299651565
 01/03  10:00:00,0.384158785,0.786188838,0,0,0,0,0,0,0.04943272,0.008256138,0.061620214,0.255027713
 01/03  11:00:00,0.376266213,0.683964702,0,0,0,0,0,0,0.040835728,0.006820289,0.057762654,0.261025543
 01/03  12:00:00,0.375707927,0.623717069,0,0,0,0,0,0,0.040835728,0.006820289,0.057124397,0.261105514
 01/03  13:00:00,0.372778316,0.580379582,0,0,0,0,0,0,0.040835728,0.006820289,0.058593194,0.256707105
 01/03  14:00:00,0.379809952,0.524079541,0,0,0,0,0,0,0.040835728,0.006820289,0.056748042,0.265583893
 01/03  15:00:00,0.3944517,0.488872991,0,0,0,0,0,0,0.042984989,0.007179249,0.05392698,0.280538481
 01/03  16:00:00,0.425067096,0.524160465,0,0,0,0,0,0,0.053731243,0.008974063,0.056406952,0.296132838
 01/03  17:00:00,0.531289287,0.646065793,0,0,0,0,0,0,0.090268475,0.015076423,0.065849143,0.350273246
 01/03  18:00:00,0.713877652,0.870841263,0,0,0,0,0,0,0.167641434,0.027999077,0.082889127,0.425526015
 01/03  19:00:00,0.87625968,0.883510579,0,0,0,0,0,0,0.249312916,0.041639651,0.083492295,0.461992818
 01/03  20:00:00,0.869991677,0.773702534,0,0,0,0,0,0,0.264357667,0.044152388,0.074792186,0.476867436
 01/03  21:00:00,0.834283748,0.674691714,0,0,0,0,0,0,0.227820435,0.038050024,0.065329786,0.493261503
 01/03  22:00:00,0.773291173,0.593822251,0,0,0,0,0,0,0.191283177,0.031947663,0.058492662,0.48174567
 01/03  23:00:00,0.645058112,0.481812467,0,0,0,0,0,0,0.143999691,0.02405049,0.05029679,0.41688914
 01/03  24:00:00,0.531055591,0.368527325,0,0,0,0,0,0,0.098865467,0.016512276,0.043586942,0.362268906
 01/04  01:00:00,0.408319219,0.248130912,0,0,0,0,0,0,0.051581982,0.008615098,0.038648574,0.299651565
 01/04  02:00:00,0.357240917,0.196911717,0,0,0,0,0,0,0.0300895,0.005025476,0.036403781,0.27590016
 01/04  03:00:00,0.342024436,0.178049852,0,0,0,0,0,0,0.021492492,0.003589625,0.034419002,0.272701317
 01/04  04:00:00,0.336943846,0.184065993,0,0,0,0,0,0,0.021492492,0.003589625,0.033177023,0.268862706
 01/04  05:00:00,0.327280106,0.232364067,0,0,0,0,0,0,0.021492492,0.003589625,0.033669607,0.258706382
 01/04  06:00:00,0.359344754,0.429537466,0,0,0,0,0,0,0.021492492,0.003589625,0.035745107,0.28869553
 01/04  07:00:00,0.443327988,0.809885167,0,0,0,0,0,0,0.04943272,0.008256138,0.042257835,0.333559295
 01/04  08:00:00,0.548196518,0.92535448,0,0,0,0,0,0,0.101014729,0.016871236,0.051056811,0.354431742
 01/04  09:00:00,0.480997371,0.877486262,0,0,0,0,0,0,0.096716233,0.016153312,0.058654261,0.299651565
 01/04  10:00:00,0.384158785,0.787009603,0,0,0,0,0,0,0.04943272,0.008256138,0.061620214,0.255027713
 01/04  11:00:00,0.376266213,0.684078795,0,0,0,0,0,0,0.040835728,0.006820289,0.057762654,0.261025543
 01/04  12:00:00,0.375707927,0.622543261,0,0,0,0,0,0,0.040835728,0.006820289,0.057124397,0.261105514
 01/04  13:00:00,0.372778316,0.577194642,0,0,0,0,0,0,0.040835728,0.006820289,0.058593194,0.256707105
 01/04  14:00:00,0.379809952,0.519336934,0,0,0,0,0,0,0.040835728,0.006820289,0.056748042,0.265583893
 01/04  15:00:00,0.3944517,0.485335386,0,0,0,0,0,0,0.042984989,0.007179249,0.05392698,0.280538481
 01/04  16:00:00,0.425067096,0.521019291,0,0,0,0,0,0,0.053731243,0.008974063,0.056406952,0.296132838
 01/04  17:00:00,0.531289287,0.643822628,0,0,0,0,0,0,0.090268475,0.015076423,0.065849143,0.350273246
 01/04  18:00:00,0.713877652,0.869222224,0,0,0,0,0,0,0.167641434,0.027999077,0.082889127,0.425526015
 01/04  19:00:00,0.87625968,0.881661345,0,0,0,0,0,0,0.249312916,0.041639651,0.083492295,0.461992818
 01/04  20:00:00,0.869991677,0.772069997,0,0,0,0,0,0,0.264357667,0.044152388,0.074792186,0.476867436
 01/04  21:00:00,0.834283748,0.673250317,0,0,0,0,0,0,0.227820435,0.038050024,0.065329786,0.493261503
 01/04  22:00:00,0.773291173,0.592529151,0,0,0,0,0,0,0.191283177,0.031947663,0.058492662,0.48174567
 01/04  23:00:00,0.645058112,0.480687301,0,0,0,0,0,0,0.143999691,0.02405049,0.05029679,0.41688914
 01/04  24:00:00,0.531055591,0.368102208,0,0,0,0,0,0,0.098865467,0.016512276,0.043586942,0.362268906
 01/05  01:00:00,0.408319219,0.248511097,0,0,0,0,0,0,0.051581982,0.008615098,0.038648574,0.299651565
 01/05  02:00:00,0.357240917,0.198389985,0,0,0,0,0,0,0.0300895,0.005025476,0.036403781,0.27590016
 01/05  03:00:00,0.342024436,0.179296789,0,0,0,0,0,0,0.021492492,0.003589625,0.034419002,0.272701317
 01/05  04:00:00,0.336943846,0.184687046,0,0,0,0,0,0,0.021492492,0.003589625,0.033177023,0.268862706
 01/05  05:00:00,0.327280106,0.234510052,0,0,0,0,0,0,0.021492492,0.003589625,0.033669607,0.258706382
 01/05  06:00:00,0.359344754,0.431717367,0,0,0,0,0,0,0.021492492,0.003589625,0.035745107,0.28869553
 01/05  07:00:00,0.447855269,1.043214588,0,0.229381464,0,0.004527281,0.004527281,0.004527281,0.04943272,0.008256138,0.042257835,0.333559295
 01/05  08:00:00,0.548196518,0.928977035,0,0,0,0,0,0,0.101014729,0.016871236,0.051056811,0.354431742
 01/05  09:00:00,0.480997371,0.880123232,0,0,0,0,0,0,0.096716233,0.016153312,0.058654261,0.299651565
 01/05  10:00:00,0.384158785,0.790466575,0,0,0,0,0,0,0.04943272,0.008256138,0.061620214,0.255027713
 01/05  11:00:00,0.376266213,0.687243281,0,0,0,0,0,0,0.040835728,0.006820289,0.057762654,0.261025543
 01/05  12:00:00,0.375707927,0.625636366,0,0,0,0,0,0,0.040835728,0.006820289,0.057124397,0.261105514
 01/05  13:00:00,0.372778316,0.580331428,0,0,0,0,0,0,0.040835728,0.006820289,0.058593194,0.256707105
 01/05  14:00:00,0.379809952,0.522380593,0,0,0,0,0,0,0.040835728,0.006820289,0.056748042,0.265583893
 01/05  15:00:00,0.3944517,0.487298741,0,0,0,0,0,0,0.042984989,0.007179249,0.05392698,0.280538481
 01/05  16:00:00,0.425067096,0.522512603,0,0,0,0,0,0,0.053731243,0.008974063,0.056406952,0.296132838
 01/05  17:00:00,0.531289287,0.645692151,0,0,0,0,0,0,0.090268475,0.015076423,0.065849143,0.350273246
 01/05  18:00:00,0.713877652,0.872831591,0,0,0,0,0,0,0.167641434,0.027999077,0.082889127,0.425526015
 01/05  19:00:00,0.87625968,0.885919673,0,0,0,0,0,0,0.249312916,0.041639651,0.083492295,0.461992818
 01/05  20:00:00,0.869991677,0.775448317,0,0,0,0,0,0,0.264357667,0.044152388,0.074792186,0.476867436
 01/05  21:00:00,0.834283748,0.677078927,0,0,0,0,0,0,0.227820435,0.038050024,0.065329786,0.493261503
 01/05  22:00:00,0.773291173,0.596703479,0,0,0,0,0,0,0.191283177,0.031947663,0.058492662,0.48174567
 01/05  23:00:00,0.645058112,0.485423645,0,0,0,0,0,0,0.143999691,0.02405049,0.05029679,0.41688914
 01/05  24:00:00,0.531055591,0.373691052,0,0,0,0,0,0,0.098865467,0.016512276,0.043586942,0.362268906
 01/06  01:00:00,0.408319219,0.25331024,0,0,0,0,0,0,0.051581982,0.008615098,0.038648574,0.299651565
 01/06  02:00:00,0.357240917,0.202461537,0,0,0,0,0,0,0.0300895,0.005025476,0.036403781,0.27590016
 01/06  03:00:00,0.342024436,0.183197472,0,0,0,0,0,0,0.021492492,0.003589625,0.034419002,0.272701317
